Order,Property Id,DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Census Tract,log_Site EUI (kBtu/ft²),log_Weather Normalized Site EUI (kBtu/ft²),log_Weather Normalized Site Electricity Intensity (kWh/ft²),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Use (All Water Sources) (kgal),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Ambulatory Surgical Center,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Data Center,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Food Service,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Laboratory,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Other - Technology/Science,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
2138,3897775,51273.0,51273.0,1916,1,100,54.0,11.6,742599.9,7426.0,195.3,,,40.751912,-73.983091,5.0,84.0,4.0163830207523885,3.9889840465642745,2.451005098112319,3.673765816303888,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5182,5866129,507265.0,510265.0,2007,1,100,4.6,1.3,,,218.0,,,40.795590000000004,-73.932351,11.0,178.0,1.5260563034950492,1.5260563034950492,0.26236426446749106,-inf,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5552,4038778,74087.0,74087.0,2003,1,100,85.6,7.1,4181000.0,45410.7,170.0,2806.7,37.88,40.80527,-73.952782,10.0,220.0,4.396915247167632,4.449685283147696,1.9600947840472698,5.403127730900382,7.939764694982299,3.6344232683178777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6412,4520863,177094.0,177094.0,1931,1,100,84.1,17.3,4018949.7,44319.0,986.8,,,40.816133,-73.917503,1.0,71.0,4.415219602029645,4.432006566978902,2.8507065015037334,5.363636832668679,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3385,2745646,177053.0,164300.0,1985,1,100,80.7,5.6,9954700.0,108122.3,309.3,,,40.787935,-73.971132,7.0,173.0,4.328098292648326,4.390738575275903,1.7227665977411035,6.270421163241404,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6705,3531273,99723.0,99723.0,1989,1,100,116.6,6.8,8608084.8,93316.6,216.6,13378.5,134.16,40.833040999999994,-73.92170300000001,4.0,195.0,4.697749367281185,4.758749273916392,1.916922612182061,6.125120931920655,9.501404219774372,4.8990331175149535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9396,3538784,90540.0,91540.0,1900,1,100,,3.6,15545799.6,155458.0,107.3,4242.7,46.35,40.676455,-73.944304,8.0,313.0,5.206750173022546,,1.2809338454620642,6.716231511423383,8.352955138012552,3.836221292011864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1640,2632792,628697.0,564683.0,1910,1,100,91.1,12.9,26955082.7,284550.8,2483.4,11681.8,19.35,40.745112,-73.994919,4.0,91.0,4.48863636973214,4.511957804265912,2.5572273113676265,7.2666178283662815,9.365787354097597,2.962692419475791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,2669826,75040.0,78080.0,2005,1,100,70.8,13.0,1764939.9,20757.4,324.9,1555.9,19.93,40.749611,-74.004714,4.0,99.0,4.210645017918261,4.259859000699674,2.5649493574615367,4.540098189244376,7.349809435320917,2.9922261342247034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7679,2558902,90650.0,90650.0,1940,1,100,82.3,3.9,5737999.9,62569.3,115.8,7047.3,77.74,40.860663,-73.91324300000001,7.0,257.0,4.345103280569283,4.410371107683024,1.3609765531356006,5.7196558238124915,8.86039984372783,4.353369925424077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10412,2842088,69090.0,69090.0,1941,1,100,108.2,3.5,6116900.2,66554.9,76.9,3694.6,53.48,40.654203,-73.94926,17.0,818.0,4.61015772749913,4.6839813664123815,1.252762968495368,5.783517442675055,8.214627573124536,3.9793077522337423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12864,2802241,699956.0,135625.0,1961,1,100,92.8,4.3,10555193.9,113985.2,209.0,9578.8,63.37,,,,,4.472780997942346,4.530446639792155,1.4586150226995167,6.384519635139465,9.167307602158763,4.148990563335426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8492,2804078,66368.0,77429.0,1928,1,100,98.4,3.0,287400.0,2923.2,76.0,3996.3,51.61,40.862715,-73.866434,11.0,330.0,4.500920164614292,4.589040804058207,1.0986122886681098,6.125339630664009,8.293124212025527,3.9437154521606357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6933,3529404,64245.0,65530.0,2007,1,100,113.1,6.8,6027949.8,59029.5,140.3,,,40.827605,-73.89581899999999,2.0,131.0,4.745801315727837,4.728272383122075,1.916922612182061,5.768945800562614,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3799,5029852,111310.0,111310.0,1916,1,100,111.3,6.4,75000.0,750.0,228.4,2248.6,20.2,40.762122999999995,-73.970389,5.0,11202.0,4.633757642840004,4.712229258281499,1.8562979903656263,6.515749190558129,7.718063079315659,3.005682604407159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7935,2650415,85314.0,89580.0,1926,1,100,74.7,3.5,5234225.7,56370.7,101.2,10951.2,122.25,40.869716,-73.891552,7.0,40303.0,4.257030144499196,4.3134800921387715,1.252762968495368,5.627621113690637,9.301204318281302,4.8060681283549815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
