Order,Property Id,DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Census Tract,log_Direct GHG Emissions (Metric Tons CO2e),log_Water Use (All Water Sources) (kgal),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
13276,5849784,90300.0,77300.0,1950,1,100,126.0,136.8,5.2,1.2,7684.7,99.41,,,,,6.0888180923638915,8.946986618125498,4.599252712224054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7377,4398442,52000.0,52000.0,1926,1,100,95.4,102.0,4.7,0.9,,,40.835496,-73.887745,3.0,161.0,5.384036241950574,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9479,4665374,104700.0,105000.0,1954,1,100,40.4,40.0,3.8,0.3,,,40.663206,-73.949469,9.0,329.0,5.017279836814924,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14774,3393340,129333.0,129333.0,1992,1,100,157.1,163.1,16.9,1.1,,,40.622968,-74.078742,1.0,27.0,6.510853401534461,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3286,2704325,109896.0,116041.0,1927,1,100,62.3,68.2,3.5,0.0,3493.9,28.65,40.782421,-73.972622,7.0,165.0,6.1235887000350235,8.158773869792155,3.3551534431607486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,2430725,182655.0,234219.0,1929,1,90,52.9,52.2,9.7,0.2,1164.0,4.8,40.725136,-74.00443800000001,2.0,37.0,5.516649360865024,7.059617628291383,1.5686159179138452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10846,5737475,65400.0,76300.0,1942,1,100,66.8,69.9,3.0,0.6,5122.7,67.14,40.637833,-73.973045,12.0,490.0,5.426270730858498,8.541436922786701,4.206779991551889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4280,2670505,113150.0,110150.0,1938,1,100,78.4,,5.7,,3384.9,30.73,40.776035,-73.96441800000001,8.0,142.0,6.067035733955056,8.127079642812511,3.425239376142393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12974,2964670,137700.0,172590.0,1959,1,100,63.0,,3.4,0.5,7242.0,41.96,,,,,6.170447202636422,8.887652690325586,3.7367167835280966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13244,4414693,63693.0,64520.0,1941,1,100,97.8,103.9,4.3,0.8,5605.4,86.88,,,,,5.680854970012496,8.631485697812721,4.464527856185625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3903,2669664,82644.0,83647.0,1922,1,100,55.4,59.4,4.5,0.0,,,40.76251,-73.970085,5.0,11203.0,1.33500106673234,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8336,2809354,51317.0,51317.0,1925,1,100,118.7,123.9,3.6,1.1,,,40.849371999999995,-73.832075,10.0,26601.0,5.662960480135946,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10679,2798138,84000.0,84000.0,1939,1,100,94.7,101.0,3.7,0.9,,,40.640791,-73.962404,14.0,514.0,5.901539839579995,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8485,2969427,66832.0,66832.0,1989,1,100,101.0,101.8,4.4,0.9,4832.6,72.31,40.863602,-73.869382,11.0,33202.0,5.72194977861165,8.483139904091354,4.28096243218686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2127,3119482,66577.0,66577.0,1936,1,100,75.0,,10.8,0.1,961.0,14.43,40.751553,-73.98415200000001,5.0,84.0,5.169346985251076,6.8679744089702925,2.6693093727857793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11047,4399604,118800.0,136620.0,1917,1,100,49.8,53.1,2.0,0.5,,,40.631824,-74.02934499999999,10.0,66.0,5.741399338227508,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7507,4926034,52030.0,52030.0,1924,1,100,101.2,110.2,5.2,0.1,,,40.844819,-73.878502,6.0,361.0,5.741720313996593,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11576,5793833,51800.0,51800.0,1964,1,100,88.3,92.7,4.5,0.8,2616.7,50.52,40.586363,-73.966233,13.0,37401.0,5.3003153692107094,7.869669260880709,3.9223692974822906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,5864824,84772.0,63834.0,1911,1,100,95.8,100.2,13.4,0.5,1560.4,24.44,40.744802,-73.995114,4.0,91.0,5.135798437050262,7.352697477632502,3.1962211343033946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8580,4043138,51180.0,59710.0,1940,1,100,104.2,112.2,4.1,0.0,,,40.891873,-73.860168,12.0,420.0,5.976350909297934,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
